old	new	status
BBKAALFGOEA	GetDodgeChance	applied_or_already_applied
BBLCHHDGCDD	_SharedMaterial	applied_or_already_applied
BBLNPIPNDMB	OnReleaseAnyKey	applied_or_already_applied
BBNAHLALCBK	QuestActionGiveCurrency	applied_or_already_applied
BCAFFFEPCJD	DecryptData	applied_or_already_applied
BCBADDOGLPE	OnIntervalStart	applied_or_already_applied
BCELJLPGAHH	ResetParameters	applied_or_already_applied
BCGAJAPHJEL	noMoreData	applied_or_already_applied
BCOALNKPIAL	get_MissilesFirstIteration	applied_or_already_applied
BDACPCAALKA	_fightPause	applied_or_already_applied
BDAPPIHMJDM	IsFrameShift	applied_or_already_applied
BDCEKNGPDNM	UserID	applied_or_already_applied
BDDKOJIDLII	SetVersion	applied_or_already_applied
BDJCEEHLECI	Title	applied_or_already_applied
BDMKLAGBCKG	kTopValue	applied_or_already_applied
BDNFDNDGJCA	Cross	applied_or_already_applied
BDPBKMKGBCH	isEndRound	applied_or_already_applied
BDPGFHDMAGL	_inProcess	applied_or_already_applied
BEEOPKCCEDK	Render	applied_or_already_applied
BEFDDFHDOIK	GetEnemyPerks	applied_or_already_applied
BEIEHEFIBGF	MergeWithItem	applied_or_already_applied
BEMDMBMFNNH	_animationRules	applied_or_already_applied
BEMNLFNEFDG	asyncOperations	applied_or_already_applied
BFBDFEKJFMD	SerializeNumber	applied_or_already_applied
BFCMBFJHFHF	SetPositionX	applied_or_already_applied
BFDCKJEOGOJ	kDefaultDictionaryLogSize	applied_or_already_applied
BFHHNHCGIAK	GetLoadSpriteFromAtlas	applied_or_already_applied
BGAJICIMEIE	Title	applied_or_already_applied
BGCPMFKDPOJ	AddStrike	applied_or_already_applied
BGDGOMLBJEE	GetEdgeButton	applied_or_already_applied
BGDNMDLDNLA	_labelButtonPrefab	applied_or_already_applied
BGFNAOJBLAP	PostStrings	applied_or_already_applied
BGKJDIKLNJA	GetRect	applied_or_already_applied
BGMAOHHHMFM	ParentPerkName	applied_or_already_applied
BHACBLFIDNJ	OnError	applied_or_already_applied
BHBBMGGJHKC	MAX_CHANELS	applied_or_already_applied
BHCLBGMEODM	AddVertex	applied_or_already_applied
BHDEBDIHDFM	ConditionKeys	applied_or_already_applied
BHDKGNOCAGK	MirrorKeys	applied_or_already_applied
BHGNEKHOGPO	AddNodes	applied_or_already_applied
BHKPDGODFKL	ScanVersionDirectiveNumber	applied_or_already_applied
BHOPNLCPIGH	ForCurrentVersion	applied_or_already_applied
BICGPDOFJNF	K	applied_or_already_applied
BICJJEFLBCG	_crazyRules	applied_or_already_applied
BIGCGGHIPIK	IndexesRange	applied_or_already_applied
BIGJDKPBAOM	ChangeLampOpacity	applied_or_already_applied
BIJHHFHOFNH	iso8859dash1	applied_or_already_applied
BIMLLOKDHFM	set_Frames	applied_or_already_applied
BINCFBIAFMG	set_Model	applied_or_already_applied
BIODNNBNOFC	codeLengthArray	applied_or_already_applied
BIPFHFMBLGJ	AtlasesCache	applied_or_already_applied
BJCPHHBGAFO	inst_string_builder	applied_or_already_applied
BJDHMKALJJN	MirrorNodes	applied_or_already_applied
BJEJMIMNJBP	ShopOverrideConteyner	applied_or_already_applied
BJFEIDOJHBI	_LastCommandIndex	applied_or_already_applied
BJHBJHFACGA	number	applied_or_already_applied
BJJFFKCBBFC	OnBinary	applied_or_already_applied
BJKDKDPCHAD	set_LastProcessedUri	applied_or_already_applied
BJKPLEGPKNJ	packsXML	applied_or_already_applied
BJMBDOOFDOF	ChangePair	applied_or_already_applied
BKAGJHHAMDA	set_MaxAge	applied_or_already_applied
BKBDCHPIACK	SetSign	applied_or_already_applied
BKCNEABMPHL	QuestActionGiveItem	applied_or_already_applied
BKDIILHJEJF	ParseResponse	applied_or_already_applied
BKEJKKIIGML	CalculateExponentialChance	applied_or_already_applied
BKGBEAEFJMP	ModelController	applied_or_already_applied
BKHMFALDKGH	logResultStr	applied_or_already_applied
BKIJBMOMKLG	ReadQuotedText	applied_or_already_applied
BKKPCBGAEHC	BattleReplayable	applied_or_already_applied
BKMGBPBDEGE	Pause	applied_or_already_applied
BKMGJBCJJEN	ScanUriEscapes	applied_or_already_applied
BKMNEMDIAEE	ChildMaxModelFrame	applied_or_already_applied
BKNHEKCKGJO	ApplyDamageFromServer	applied_or_already_applied
BKOIAPKNBGH	_id	applied_or_already_applied
BKPAOEDAKDK	AiData	applied_or_already_applied
BLAIFJHNJIO	PerkActionProvoke	applied_or_already_applied
BLHMMFJHLPP	PurchaseController	applied_or_already_applied
BLHOBLHCPIP	RaidCheatManager	applied_or_already_applied
BLJDEFIPPEE	_isCheckRender	applied_or_already_applied
BLJGEOEHIGP	count	applied_or_already_applied
BLLCOEAOJGF	target	applied_or_already_applied
BMAKFKKHKAH	set_Progress	applied_or_already_applied
BMAMEKDFLBG	DefenceAttribute	applied_or_already_applied
BMBCAKGMAIP	gf2_matrix_square	applied_or_already_applied
BMBEFLBNMJO	GetResource	applied_or_already_applied
BMCAIKDGOKG	ParseLong	applied_or_already_applied
BMFKOMIAEOH	GetBlockChance	applied_or_already_applied
BMIJIOLMHCA	DrawZoomEffect	applied_or_already_applied
BMJEMDLOPEC	set_IsFollowObject	applied_or_already_applied
BMLDEBMJDHM	CheckEvent	applied_or_already_applied
BMPAJCILLOP	Equip	applied_or_already_applied
BMPGAPDJJHL	SetDouble	applied_or_already_applied
BMPPIMBKCDB	GetDouble	applied_or_already_applied
BNCFGOHEENA	SetWallShift	applied_or_already_applied
BNGEEECJPEN	get_MovesLastIteration	applied_or_already_applied
BNHFNKNKFJG	maxRecursion	applied_or_already_applied
BNINOIBCDOE	_ShowMenuTime	applied_or_already_applied
BNNEKHLMHMH	CheckDamageRules	applied_or_already_applied
BOAFKGNNLHI	_counter	applied_or_already_applied
BOBDBEAHPLJ	controls	applied_or_already_applied
BOCOGPJNGFB	FontColor	applied_or_already_applied
BOECPKCKNPN	object_list	applied_or_already_applied
BOGFKNKENFP	get_RoundTimeLeftFrames	applied_or_already_applied
BOKLGOEBJGD	RequestBookmark	applied_or_already_applied
BOLIEFMEAKF	Stop	applied_or_already_applied
BOPAEEBGFAN	Start	applied_or_already_applied
BPEECBCIIME	_rulesInspector	applied_or_already_applied
BPHIGLDPIHI	MaxPlayableSounds	applied_or_already_applied
BPHPOGKKKHK	_PivotName	applied_or_already_applied
BPJNHNCOPOP	StyleName	applied_or_already_applied
BPKPELJEOBJ	CheckAnimations	applied_or_already_applied
BPLPKPIBEIF	Factors	applied_or_already_applied
BPNIFLMLGHB	QuestActionSendDiscountStats	applied_or_already_applied
BPPMLOIPDGJ	UnlockAchievement	applied_or_already_applied
BPPPBDOBDFH	m_Stream	applied_or_already_applied
CAANBJEPGAA	Intervals	applied_or_already_applied
CAAOOJLECIC	finishedCount	applied_or_already_applied
CABJFENMCFN	GetInterframeByDistance	applied_or_already_applied
CAGGDFBMJKG	MarketSettings	applied_or_already_applied
CAIJKDMIPFO	_base	applied_or_already_applied
CAMMNDIHCOJ	CheckLockAnimation	applied_or_already_applied
CAOPJNBDLJB	QuestActionGiveAchievement	applied_or_already_applied
CBAGCPJFHJO	ClearIntervals	applied_or_already_applied
CBCCKFNGJMO	ParseAttributes	applied_or_already_applied
CBEFOGCNPLN	WriteUInt32	applied_or_already_applied
CBFIICJIOKF	IsEqual	applied_or_already_applied
CBFLDHEDMLL	set_BulletType	applied_or_already_applied
CBGAONDHEFK	ruleDesc	applied_or_already_applied
CBJBOFANOJI	OnLoadContent	applied_or_already_applied
CBJCAIMOOOB	CreateSprite	applied_or_already_applied
CBKCLODFBLG	Inflate	applied_or_already_applied
CBPIGOFDEJF	AddIfNotExist	applied_or_already_applied
CCCFDAGPDEF	DefaultBufferSize	applied_or_already_applied
CCHBBJCOJLB	InternalEncrypt	applied_or_already_applied
CCIEBLBDBBC	Receive	applied_or_already_applied
CCJICBBHJKK	MethodNames	applied_or_already_applied
CCKLJHDJLKM	UpdateNode	applied_or_already_applied
CCNDHGKIIPK	Concat	applied_or_already_applied
CDAOJGOFBIC	allDownloadedFromLocalCache	applied_or_already_applied
CDDLKINPKFJ	UpdateIcon	applied_or_already_applied
CDGFLHHOMJI	ToObject	applied_or_already_applied
CDGJIOHHODD	_sliderVisibleItems	applied_or_already_applied
CDIFCCDNEAJ	actualStreamSizeModulo	applied_or_already_applied
CDMJEPIHIDE	ParseAnimationList	applied_or_already_applied
CDOANHGOGJJ	ToDateTime	applied_or_already_applied
CDPJJDDNFMH	get_RoundNumber	applied_or_already_applied
CEDAAMBFHBG	set_Type	applied_or_already_applied
CEFAJJHNNIL	SetEvadesRnd	applied_or_already_applied
CEFFOHOJGPB	_interframes	applied_or_already_applied
CEGIFBKOKDB	Render	applied_or_already_applied
CEGLFIKOACB	ToLanguageCode	applied_or_already_applied
CEIBJNKENEP	_NodeNames	applied_or_already_applied
CEJBOIFEABJ	get_FightTimeInFrames	applied_or_already_applied
CEJDKBJELNN	PlayAnimation	applied_or_already_applied
CFABJLHDOJA	IncreaseStyleByValue	applied_or_already_applied
CFAOKHIACBD	IsFitCondition	applied_or_already_applied
CFCEKMKJMNF	GetAllSimplifiedAssetNames	applied_or_already_applied
CFCPKBJIBFH	CreatePerkActivationArea	applied_or_already_applied
CFDKBPFLFJF	CallCountersByType	applied_or_already_applied
CFEBPDIINEI	_ButtonName	applied_or_already_applied
CFHOAIJINEC	_enemyNoPerksRules	applied_or_already_applied
CFIIGIKNOLB	Distances	applied_or_already_applied
CFJALLNBEDB	PutNoPerkFromRule	applied_or_already_applied
CFJNGLFPIBB	Read	applied_or_already_applied
CFLGJOMFOHK	PerkEventRoundStage	applied_or_already_applied
CFNJPKLLHCL	RegisterTagMapping	applied_or_already_applied
CGACIOEIAOL	CheckIsNoDamageChange	applied_or_already_applied
CGAPIABKEJG	SetLong	applied_or_already_applied
CGBEAAEAAHD	AddShopLock	applied_or_already_applied
CGBOJLDGHKE	_active	applied_or_already_applied
CGHHILHAEIB	ByteArrayToString	applied_or_already_applied
CGIEMNMKEAP	_CurrentUserNode	applied_or_already_applied
CGIGKDPBLNM	GetMapping	applied_or_already_applied
CGIJLIBOOGF	Deserialize	applied_or_already_applied
CGIPKABEPLN	onError	applied_or_already_applied
CGJLHJGIGHD	Info	applied_or_already_applied
CGMFJLENCPB	CheckPoint	applied_or_already_applied
CHAHDOJFMDG	GetQuaternionFromMatrix	applied_or_already_applied
CHBHDBLKOAF	QuestActionHideStarterPackTimer	applied_or_already_applied
CHDFJOFGMFC	SetWriteEndMarkerMode	applied_or_already_applied
CHGEGDAGAMB	ConvertTo	applied_or_already_applied
CHHIJABLLMI	GetHeaderValues	applied_or_already_applied
CHIFHBIHHKD	CheckModNameInNamespace	applied_or_already_applied
CHIKFIPEJCJ	RemoveComplexRule	applied_or_already_applied
CHKBKIJNFEN	_renderer	applied_or_already_applied
CHMBDNOBFLD	LibraryVersion	applied_or_already_applied
CHPENHPCMMD	set_IsRequestInProgress	applied_or_already_applied
CHPFCKDHJFD	unconfirmedIds	applied_or_already_applied
CHPMKLJLDPD	bundlesChach	applied_or_already_applied
CIDLGBLLOMA	WinShockRule	applied_or_already_applied
CIFDKNEHEAJ	GetDodgeMissileChance	applied_or_already_applied
CIFIFDOBHDL	IsPathWithDrive	applied_or_already_applied
CIFMIGBGNIG	SetMiddlePoint3D	applied_or_already_applied
CIIIJCNHMAP	IsPackByName	applied_or_already_applied
CINAMLAFLCN	QuestActionSetLowGraphics	applied_or_already_applied
CINDPKJHKKF	heap	applied_or_already_applied
CINIINAGBKA	set_Namespace	applied_or_already_applied
CIOPCCGBPCA	randomInt	applied_or_already_applied
CJBFKLBNAPN	AddRaidHitInfo	applied_or_already_applied
CJBHFGIAHBN	_InterframesList	applied_or_already_applied
CJDFNFIHJLO	UncompressString	applied_or_already_applied
CJFFLAPBGLD	SetRosterFileContent	applied_or_already_applied
CJGFJJJEGHI	CompleteValue	applied_or_already_applied
CJIOLKNMPKL	StartAnimationBot	applied_or_already_applied
CJKADBGPDPE	_isWeaponStrike	applied_or_already_applied
CJKDBDHDHGN	_TextureH	applied_or_already_applied
CJKDJOGNNKD	GetDivisionPoint3D	applied_or_already_applied
CKAOABLDAEF	GetForDodgeMissiles	applied_or_already_applied
CKBJBFPFMFF	SetFixedSign	applied_or_already_applied
CKDEEPLCNBO	CheckAnimationName	applied_or_already_applied
CKDPMGOEKOA	FrameTexture	applied_or_already_applied
CKEDMLJNPGP	wfCamera	applied_or_already_applied
CKHEKLOIEOM	_IsWork	applied_or_already_applied
CKLFKHOPJBF	SendError	applied_or_already_applied
CKLJCBAHJLK	nesting	applied_or_already_applied
CLBEGGLEHMB	PerkActionAddBullets	applied_or_already_applied
CLGENOBFPLL	CheckCountersEndRound	applied_or_already_applied
CLJDGKLPNGK	GetDistance	applied_or_already_applied
CLJKIPAFJFI	HasCommand	applied_or_already_applied
CLKOPAKLMEE	ParseBool	applied_or_already_applied
CLLLJMJCFFD	GetBool	applied_or_already_applied
CLOCODIADEF	_tableIndex	applied_or_already_applied
CMABINBOAOG	EncryptLongValue	applied_or_already_applied
CMDFAEOMPCP	PerkConditionRound	applied_or_already_applied
CMEBNCOBNLE	CumulativeIndex	applied_or_already_applied
CMEFEJJNNDA	longRunningJobProgress	applied_or_already_applied
CMGHJMKFDBO	set_IndentValue	applied_or_already_applied
CMGJIDMIHBN	GetSecKey	applied_or_already_applied
CMIABGEHFFO	PerkConditionCombo	applied_or_already_applied
CMICKBMCOFB	GetAttributesHitMultiplier	applied_or_already_applied
CNAKNBJNPKO	GetState	applied_or_already_applied
CNBHLJNOEPF	Peek	applied_or_already_applied
CNCHOEKEBDB	_AutoPosition	applied_or_already_applied
CNFOLHMGHGO	SetEvadesChances	applied_or_already_applied
CNHAJBPAJAF	EventIntervalEnd	applied_or_already_applied
CNHJIHILLFE	SetQuickAttackRnd	applied_or_already_applied
